timestamp,session_id,status,markers,green_area_cm2,convex_hull_cm2,damage_area_cm2,damage_percent,mode,frozen,phys_width_cm,phys_height_cm,dig_width_px,kernel_size,lower_hsv,upper_hsv,manual_damage_enabled,auto_edge_damage_enabled,manual_limit_to_leaf,manual_leaf_shrink_px,show_auto_damage_on_cropped,full_image,cropped_image,result_image,mask_image
2026-06-11_14-17-21,b5b34643690147b99ca90b5b35be9e93,0/4 ArUco-Marker gefunden,0,,,,,camera,False,13.4,13.4,700,6,0;60;60,179;200;200,True,True,False,0,False,archive\images\2026-06-11_14-17-21_b5b34643_full.jpg,archive\images\2026-06-11_14-17-21_b5b34643_cropped.jpg,archive\images\2026-06-11_14-17-21_b5b34643_result.jpg,archive\images\2026-06-11_14-17-21_b5b34643_mask.jpg
2026-06-11_14-19-16,b5b34643690147b99ca90b5b35be9e93,0/4 ArUco-Marker gefunden,0,,,,,camera,False,13.4,13.4,700,6,0;60;60,179;200;200,True,True,False,0,False,archive\images\2026-06-11_14-19-16_b5b34643_full.jpg,archive\images\2026-06-11_14-19-16_b5b34643_cropped.jpg,archive\images\2026-06-11_14-19-16_b5b34643_result.jpg,archive\images\2026-06-11_14-19-16_b5b34643_mask.jpg
2026-06-11_14-19-18,b5b34643690147b99ca90b5b35be9e93,0/4 ArUco-Marker gefunden,0,,,,,camera,False,13.4,13.4,700,6,0;60;60,179;200;200,True,True,False,0,False,archive\images\2026-06-11_14-19-18_b5b34643_full.jpg,archive\images\2026-06-11_14-19-18_b5b34643_cropped.jpg,archive\images\2026-06-11_14-19-18_b5b34643_result.jpg,archive\images\2026-06-11_14-19-18_b5b34643_mask.jpg
2026-06-12_11-15-08,91b88f2a46f649e69e78cc43e25680f5,Messung ok,4,2.667,3.183,0.754,23.7,camera,True,13.4,13.4,700,6,0;24;24,179;255;255,True,False,False,0,False,archive\images\2026-06-12_11-15-08_91b88f2a_full.jpg,archive\images\2026-06-12_11-15-08_91b88f2a_cropped.jpg,archive\images\2026-06-12_11-15-08_91b88f2a_result.jpg,archive\images\2026-06-12_11-15-08_91b88f2a_mask.jpg
2026-06-16_08-38-05,c3c154f3aa65444fafa44fb09d87a5af,Messung ok,4,5.908,6.246,0.127,2.0,camera,True,13.4,13.4,700,6,0;75;71,179;255;255,True,True,False,0,True,archive\images\2026-06-16_08-38-05_c3c154f3_full.jpg,archive\images\2026-06-16_08-38-05_c3c154f3_cropped.jpg,archive\images\2026-06-16_08-38-05_c3c154f3_result.jpg,archive\images\2026-06-16_08-38-05_c3c154f3_mask.jpg
2026-06-16_10-18-47,2668f05e19a0427cbf3e43a1ef2a59cb,Messung ok,4,6.138,7.246,0.92,12.7,camera,True,13.4,13.4,700,6,0;30;40,179;255;255,True,True,False,0,False,archive\images\2026-06-16_10-18-47_2668f05e_full.jpg,archive\images\2026-06-16_10-18-47_2668f05e_cropped.jpg,archive\images\2026-06-16_10-18-47_2668f05e_result.jpg,archive\images\2026-06-16_10-18-47_2668f05e_mask.jpg
